non-inclusive,inclusive,Category
The underclassmen joined the workshop., The undergraduates joined the workshop.,Gender
The upperclassman mentored juniors., The student mentored juniors.,Gender
The upperclassmen led the project., The students led the project.,Gender
The warehouseman organized the goods., The warehouse worker organized the goods.,Gender
The warehousemen loaded the trucks., The warehouse workers loaded the trucks.,Gender
The washerman cleaned clothes by the river., The washer cleaned clothes by the river.,Gender
The washermen worked together., The washers worked together.,Gender
The watchman guarded the building at night., The watcher guarded the building at night.,Gender
The watchmen patrolled the area., The watchers patrolled the area.,Gender
The weatherman predicted heavy rain., The weather forecaster predicted heavy rain.,Gender
The weathermen monitored the storm., The weather forecasters monitored the storm.,Gender
The wheelman drove the getaway car., The driver drove the getaway car.,Gender
The wheelmen handled vehicles skillfully., The drivers handled vehicles skillfully.,Gender
The whiteman spoke about history., The white person spoke about history.,Gender
The whitemen gathered for the event., The white people gathered for the event.,Gender
The wildman lived in isolation., The wild person lived in isolation.,Gender
The wildmen roamed the forest., The wild people roamed the forest.,Gender
The winchman rescued the stranded climber., The rescue swimmer rescued the stranded climber.,Gender
The winchmen saved several lives., The rescue swimmers saved several lives.,Gender
The wingman supported the lead pilot., The pilot partner supported the lead pilot.,Gender
The wingmen flew in formation., The pilot partners flew in formation.,Gender
The woodman carved furniture from logs., The woodworker carved furniture from logs.,Gender
The woodmen worked in the workshop., The woodworkers worked in the workshop.,Gender
The woodsman knew the forest paths well., The forester knew the forest paths well.,Gender
The woodsmen protected the woodland., The foresters protected the woodland.,Gender
The workingman demanded fair wages., The worker demanded fair wages.,Gender
The workingmen protested for their rights., The workers protested for their rights.,Gender
The workman repaired the machine., The worker repaired the machine.,Gender
The workmen completed the construction., The workers completed the construction.,Gender
The yeoman maintained order in the district., The officer maintained order in the district.,Gender
The yeomen guarded the territory diligently., The officers guarded the territory diligently.,Gender
Her airmanship impressed the instructors., Her aerial skill impressed the instructors.,Gender
Their airmanships were tested during training., Their aerial skills were tested during training.,Gender
His batsmanship won the match for the team., His batting skill won the match for the team.,Gender
Their batsmanships improved over the season., Their batting skills improved over the season.,Gender
The diplomat relied on brinkmanship during negotiations., The diplomat relied on extreme strategy during negotiations.,Gender
Their brinkmanships led to tense discussions., Their extreme strategies led to tense discussions.,Gender
The leader used brinksmanship to pressure rivals., The leader used extreme strategy to pressure rivals.,Gender
These brinksmanships affected international relations., These extreme strategies affected international relations.,Gender
Her chairmanship guided the committee effectively., Her chairpersonship guided the committee effectively.,Gender
Their chairmanships were appreciated by all members., Their chairpersonships were appreciated by all members.,Gender
His churchmanships influenced the congregation., His churchpersonships influenced the congregation.,Gender
